,title,rating,run time,year,genre,Director,Score
160,The Thing,R,1H:49M,1982,Horror,John Carpenter,8.1
161,"Three Billboards Outside Ebbing, Missouri",R,1H:55M,2017,Comedy,Martin McDonagh,8.1
162,The Seventh Seal,Not Rated,1H:36M,1957,Drama,Ingmar Bergman,8.1
163,The Elephant Man,PG,2H:4M,1980,Biography,David Lynch,8.1
164,The Sixth Sense,PG-13,1H:47M,1999,Drama,M. Night Shyamalan,8.1
165,The Truman Show,PG,1H:43M,1998,Comedy,Peter Weir,8.1
166,Jurassic Park,PG-13,2H:7M,1993,Action,Steven Spielberg,8.1
167,Wild Strawberries,Not Rated,1H:31M,1957,Drama,Ingmar Bergman,8.1
168,The Third Man,Approved,1H:33M,1949,Film-Noir,Carol Reed,8.1
169,Memories of Murder,Not Rated,2H:12M,2003,Crime,Bong Joon Ho,8.1
170,V for Vendetta,R,2H:12M,2005,Action,James McTeigue,8.1
171,Blade Runner,R,1H:57M,1982,Action,Ridley Scott,8.1
172,Trainspotting,R,1H:33M,1996,Drama,Danny Boyle,8.1
173,Inside Out,PG,1H:35M,2015,Animation,Pete Docter,8.1
174,The Bridge on the River Kwai,PG,2H:41M,1957,Adventure,David Lean,8.1
175,Fargo,R,1H:38M,1996,Crime,Joel Coen,8.1
176,Finding Nemo,G,1H:40M,2003,Animation,Andrew Stanton,8.1
177,Warrior,PG-13,2H:20M,2011,Action,Gavin O'Connor,8.1
178,Kill Bill: Vol. 1,R,1H:51M,2003,Action,Quentin Tarantino,8.1
179,Gone with the Wind,Passed,3H:58M,1939,Drama,Victor Fleming,8.1
180,Tokyo Story,Not Rated,2H:16M,1953,Drama,Yasujirô Ozu,8.1
181,Dune,PG-13,2H:35M,2021,Action,Denis Villeneuve,8.1
182,On the Waterfront,Approved,1H:48M,1954,Crime,Elia Kazan,8.1
183,My Father and My Son,Not Rated,1H:52M,2005,Drama,Cagan Irmak,8.1
184,Wild Tales,R,2H:2M,2014,Comedy,Damián Szifron,8.1
185,Stalker,Not Rated,2H:42M,1979,Drama,Andrei Tarkovsky,8.1
186,Prisoners,R,2H:33M,2013,Crime,Denis Villeneuve,8.1
187,The Deer Hunter,R,3H:3M,1978,Drama,Michael Cimino,8.1
188,The Grand Budapest Hotel,R,1H:39M,2014,Adventure,Wes Anderson,8.1
189,The General,Passed,1H:7M,1926,Action,Clyde Bruckman,8.1
190,Sherlock Jr.,Passed,0H:45M,1924,Action,Buster Keaton,8.1
191,Gran Torino,R,1H:56M,2008,Drama,Clint Eastwood,8.1
192,Persona,Not Rated,1H:23M,1966,Drama,Ingmar Bergman,8.1
193,Z,M,2H:7M,1969,Crime,Costa-Gavras,8.1
194,Before Sunrise,R,1H:41M,1995,Drama,Richard Linklater,8.1
195,Mary and Max,Not Rated,1H:32M,2009,Animation,Adam Elliot,8.1
196,Catch Me If You Can,PG-13,2H:21M,2002,Biography,Steven Spielberg,8.1
197,Mr. Smith Goes to Washington,Passed,2H:9M,1939,Comedy,Frank Capra,8.1
198,In the Name of the Father,R,2H:13M,1993,Biography,Jim Sheridan,8.1
199,Barry Lyndon,PG,3H:5M,1975,Adventure,Stanley Kubrick,8.1
200,Room,R,1H:58M,2015,Drama,Lenny Abrahamson,8.1
201,Gone Girl,R,2H:29M,2014,Drama,David Fincher,8.1
202,Hacksaw Ridge,R,2H:19M,2016,Biography,Mel Gibson,8.1
203,The Passion of Joan of Arc,Passed,1H:54M,1928,Biography,Carl Theodor Dreyer,8.1
204,Andhadhun,Not Rated,2H:19M,2018,Comedy,Sriram Raghavan,8.1
205,Ford v Ferrari,PG-13,2H:32M,2019,Action,James Mangold,8.1
206,12 Years a Slave,R,2H:14M,2013,Biography,Steve McQueen,8.1
207,To Be or Not to Be,Passed,1H:39M,1942,Comedy,Ernst Lubitsch,8.1
208,The Big Lebowski,R,1H:57M,1998,Comedy,Joel Coen,8.1
209,Dead Poets Society,PG,2H:8M,1989,Comedy,Peter Weir,8.1
210,How to Train Your Dragon,PG,1H:38M,2010,Animation,Dean DeBlois,8.1
211,Mad Max: Fury Road,R,2H:0M,2015,Action,George Miller,8.1
212,Ben-Hur,G,3H:32M,1959,Adventure,William Wyler,8.1
213,Autumn Sonata,PG,1H:39M,1978,Drama,Ingmar Bergman,8.1
214,Harry Potter and the Deathly Hallows: Part 2,PG-13,2H:10M,2011,Adventure,David Yates,8.1
215,Million Dollar Baby,PG-13,2H:12M,2004,Drama,Clint Eastwood,8.1
216,The Handmaiden,Not Rated,2H:25M,2016,Drama,Park Chan-Wook,8.1
217,The Wages of Fear,Not Rated,2H:11M,1953,Adventure,Henri-Georges Clouzot,8.1
218,Stand by Me,R,1H:29M,1986,Adventure,Rob Reiner,8.1
219,Network,R,2H:1M,1976,Drama,Sidney Lumet,8.1
220,Logan,R,2H:17M,2017,Action,James Mangold,8.1
221,Cool Hand Luke,GP,2H:7M,1967,Crime,Stuart Rosenberg,8.0
222,La Haine,Not Rated,1H:38M,1995,Crime,Mathieu Kassovitz,8.0
223,Hachi: A Dog's Tale,G,1H:33M,2009,Biography,Lasse Hallström,8.0
224,A Silent Voice: The Movie,Not Rated,2H:10M,2016,Animation,Naoko Yamada,8.0
225,The 400 Blows,Not Rated,1H:39M,1959,Crime,François Truffaut,8.0
226,Gangs of Wasseypur,Not Rated,5H:21M,2012,Action,Anurag Kashyap,8.0
227,Platoon,R,2H:0M,1986,Drama,Oliver Stone,8.0
228,Spotlight,R,2H:9M,2015,Biography,Tom McCarthy,8.0
229,"Monsters, Inc.",G,1H:32M,2001,Animation,Pete Docter,8.0
230,Rebecca,Approved,2H:10M,1940,Drama,Alfred Hitchcock,8.0
231,Life of Brian,R,1H:34M,1979,Comedy,Terry Jones,8.0
232,In the Mood for Love,PG,1H:38M,2000,Drama,Kar-Wai Wong,8.0
233,The Bandit,Not Rated,2H:8M,1996,Crime,Yavuz Turgul,8.0
234,Hotel Rwanda,PG-13,2H:1M,2004,Biography,Terry George,8.0
235,Rush,R,2H:3M,2013,Action,Ron Howard,8.0
236,Into the Wild,R,2H:28M,2007,Adventure,Sean Penn,8.0
237,Rocky,PG,2H:0M,1976,Drama,John G. Avildsen,8.0
238,Amores perros,R,2H:34M,2000,Drama,Alejandro G. Iñárritu,8.0
239,Nausicaä of the Valley of the Wind,Not Rated,1H:57,1984,Animation,Hayao Miyazaki,8.0
240,It Happened One Night,Passed,1H:45M,1934,Comedy,Frank Capra,8.0
241,Fanny and Alexander,R,3H:8M,1982,Drama,Ingmar Bergman,8.0
242,Before Sunset,R,1H:20M,2004,Drama,Richard Linklater,8.0
243,Andrei Rublev,R,3H:25M,1966,Biography,Andrei Tarkovsky,8.0
244,Neon Genesis Evangelion: The End of Evangelion,TV-MA,1H:27M,1997,Animation,Hideaki Anno,8.0
245,The Battle of Algiers,Not Rated,2H:1M,1966,Drama,Gillo Pontecorvo,8.0
246,Nights of Cabiria,Not Rated,1H:50M,1957,Drama,Federico Fellini,8.0
247,The Princess Bride,PG,1H:38M,1987,Adventure,Rob Reiner,8.0
248,Demon Slayer: Mugen Train,Not Rated,1H:57M,2020,Animation,Koyoharu Gotouge,8.0
249,Raatchasan,Not Rated,2H:50M,2018,Action,Ram Kumar,8.0
250,Spider-Man: No Way Home,PG-13,2H:28M,2021,Action,Jon Watts,8.9
251,The Matrix Resurrections,R,2H:28M,2021,Action,Lana Wachowski,5.8
252,Don't Look Up,R,2H:18M,2021,Comedy,Adam McKay,7.3
254,Encanto,PG,1H:42M,2021,Animation,Jared Bush,7.3
255,Christmas Vacation,PG-13,1H:37M,1989,Comedy,Jeremiah S. Chechik,7.6
256,The Unforgivable,R,1H:52M,2021,Crime,Nora Fingscheidt,7.2
257,Love Actually,R,2H:15M,2003,Comedy,Richard Curtis,7.6
258,The Matrix,R,2H:16M,1999,Action,Lana Wachowski,8.7
259,Home Alone,Approved,1H:43M,1990,Comedy,Chris Columbus,7.6
260,Being the Ricardos,R,2H:11M,2021,Biography,Aaron Sorkin,6.7
263,Resident Evil: Welcome to Raccoon City,R,1H:47M,2021,Action,Johannes Roberts,5.2
264,Licorice Pizza,R,2H:13M,2021,Comedy,Paul Thomas Anderson,8.2
265,The Power of the Dog,R,2H:6M,2021,Drama,Jane Campion,7.0
266,The King's Man,R,2H:10M,2021,Action,Matthew Vaughn,6.8
267,Pushpa: The Rise - Part 1,Not Rated,2H:59M,2021,Action,Sukumar,8.1
268,Spider-Man,PG-13,2H:1M,2002,Action,Sam Raimi,7.3
269,West Side Story,PG-13,2H:36M,2021,Crime,Steven Spielberg,7.9
270,It's a Wonderful Life,PG,2H:10M,1946,Drama,Frank Capra,8.6
271,Die Hard,R,2H:12M,1988,Action,John McTiernan,8.2
